comment_count,date,story,title
0,,,
0,,,
0,"29 октября 2019, 10:47",", деп хабарлайды ,. Ол бұл туралы ""Қажет"" бағдарламасына берген сұқбатында айтты.,- Сайлау менің жалғыз екенімді өз-өзіме дәлелдеп берді. Жалғыздық деген белгілі бір нәрсені бастауға ақыл-кеңес беретін, қолдап-қостайтын адамның жоқтығы. Өткендегі оқиғада мен сеніп жүрген біраз адамдар көңілімді қалдырды, керісінше, осымен ортақ ештеңем жоқ-ау деген адамдармен еріксіз жақындастырды, - дейді ол.,Сондай-ақ ол бүгін-ертең партия құрғалы жатпағанын да айтты. Өйткені, оның пікірінше, дәл қазір қандай да бір саяси белсенділіктен халыққа пайда жоқ.,...Менің пайымымша, көтеріліс болса, қыран-топан, тонау, ырду-дырду басталады. Соны пайдаланып, пәленбай миллиардтар жоғалып кетуі мүмкін. Халық тағы түксіз қалады.,- Партия құрамын дедім, бірақ оған саяси тәжірибем де білімім де жеткіліксіз деп айтқанмын сол кезде. Тракторшы деп айтпай-ақ қояйын, ауданның ортаңқол мұғалімі деңгейіндей сауатым бар. Кем дегенде оны жетілдіруге бір жыл уақыт керек. Дәл қазір асығыс партия құрып, іске кірісіп кету нәтиже бермейді. Өйткені қарсылық, арандату болады, онымен күресуге менің сауатым жетпейді. Менің көш бастауыма уақыт керек, - дейді ол.,Сондай-ақ өз сұқбатында Ринат Зайытов қол бастай алмайтынын ашық мойындады.,- Мен Президенттікке ұмтылатын адам емеспін. Егер мен Президент болсам, Назарбаевпен жылап көрісесіңдер. Халық маған ренжімесін, өйткені мен ешқашан көш бастаймын деген жоқпын. Менде ондай амбиция жоқ. Маған барлық қазақ секілді тыныш жүрген ұнайды. Еркіндікті жақсы көремін, өз ойымды, халықтың ойын жеткізіп. Одан басқа рөлге мен дайын емеспін.,- Қосановтың сайлаудан өтетініне халық та, мен де сенімді болдық. Бірақ жағдай басқаша болып шықты. Енді үйде қарап отыруыма болмайды ғой. Менің де ол арада қатысым болды. Бір қызығы, Ақберен Елгезек екеуміз бәстесіп қойғанбыз. Мен Қосанов жеңеді деймін ғой баяғы. Көлікке бәстестік. Ең ақыры, жеңілдік. Солай сәйкес болып қалды, ол күні әйелімнің туған күні еді. Ақберен ""көлікті сенен ұтып алып, әйеліңе сыйлай салайын, енді бұлай істеме"" деп достық ақылын айтты. Менің кінәм - көзсіз сенімге арқа сүйемей, қырағылық танытуым керек еді. Ал былай, сол сайлауалды науқанға қатысқанға еш өкінбеймін. Өйткені халықтың қалауы үшін жұмыс істедік сол кезде. Бірақ біздің билікті оңайшылықпен өзгерту мүмкін емес, соған көзім жетті.,Ал Әблязовқа сенбеймін. Бірақ қазіргі биліктің әрекеті халықты соған сенуге итермелеп жатыр. Мен де халықтың бірімін. ""Түйесі жоқ ауылға тайлақ атан көрінеді"", - дейді қазақ. Әбілязов тура сондай. Қосановты Әбілазов үшін жамандамаймын. Ол: ""Қосанов жеңіледі, Зайытов көшеге шығып партия құрам дейді, содан соң Қосановты жамандайды"", - деді. Сол үшін жамандамай қойдым. Ол бәрін біліп отыр, бекер емес қой оның бәрі. Сол шығып айтса, ел көшеге шығады екен. Әблязов деген 10 шақты қатын бар, оларға түк болмайды. Бірақ шын көшеге шыққандар жабылады. Содан бұл билікке шын қарсы адамдарды анықтау үшін істелетін тәсіл ме екен деп ойлаймын.,Больше новостей в Telegram-канале ,. Подписывайся!","Қосанов жеңеді деп бәстесіп, көлігімді ұтылдым – Ринат Зайытов"
1,"29 октября 2019, 11:30",", передает ,.,Он отметил, что нужно продолжать наполнять индустриальную зону новыми предприятиями.,Больше новостей в Telegram-канале ,. Подписывайся!","Токаев указал, в каком направлении следует развивать Алматы"
1,"29 октября 2019, 00:10",", сообщает , со ссылкой на ,.,В пресс-службе департамента полиции Северо-Казахстанской области рассказали, что по факту поступивших заявлений от нескольких жителей этого двора, о повреждении пеной транспортных средств, стражи порядка собрали материал.,Следственно-оперативная группа продолжает работу по установлению числа пострадавших автовладельцев.,Больше новостей в Telegram-канале ,. Подписывайся!",Подросток разукрасил автомобили монтажной пеной в СКО
0,"29 октября 2019, 01:23"," сообщает , со ссылкой на ,.,Больше тонны рогов, тысячи убитых краснокнижных животных, ущерб государству почти на 6 миллиардов тенге. Контрабанду, по версии следствия, планировали отправить в Китай. Готовили ее, судя по объему, не один год. Во время крупной спецоперации силовики ,.,О необходимости ужесточить наказание за браконьерство Глава государства говорит не впервые. Ведь от рук злоумышленников гибнут не только редкие животные, но и природоохранные инспекторы. Так с начала года убили двух егерей, еще один скончался на днях в Кызылординской области. Он , во время погони.,В Ассоциации охотников предлагают приравнять браконьеров к наркоторговцам. Более того, некоторые контрабандисты работают под прикрытием, говорят эксперты. Организованную преступную группировку, вывозившую крупную партию рогов краснокнижной сайги в Китай, могли ""крышевать"" высокопоставленные чиновники и даже сами инспекторы ""Охотзоопрома"", говорит Оралбай Абдыкаримов.,Изъятые рога, кстати, сожгут. Утилизация предусмотрена Законом. К слову, стоимость одного кг на ""черном"" рынке доходит до пяти тысяч долларов.,Больше новостей в Telegram-канале ,. Подписывайся!","Тех, кто вывозил рога сайги, могут крышевать правоохранители - Ассоциация охотников"
7,"29 октября 2019, 01:00",", сообщает ,.,В гуляющей по Сети фотокопии указанно, что Генеральной прокуратурой рассмотрено ходатайство в интересах Манзорова Б. о прекращении уголовного дела. Обвинения указаны, как незаконные и уголовное дело прекращено за отсутствием события уголовного правонарушения.,Внизу стоит имя заместителя начальника Службы уголовного преследования Абу-Али Анарбайұлы Саттара.,Напомним, что в конце сентября заместитель акима Алматинской области Багдат Манзоров был , борцами с коррупцией.,Его подозревали в мошенничестве в особо крупном размере.,Насколько правдив этот документ, сказать сложно. Редакция Zakon.kz отправила запрос в Генеральную прокуратуру, чтобы это выяснить.,Нельзя не отметить, что в одной из строчек текста Багдат Манзоров указан, как Н. Манзоров.,Больше новостей в Telegram-канале ,. Подписывайся!",В Сети появился документ об отмене уголовного дела в отношении Багдата Манзорова
6,"29 октября 2019, 06:26"," Об этом сообщает телеканал "","", передает ,.,Эти состязания, юные спортсмены, их тренеры и родители запомнят надолго. За пару дней прибывания в Шымкенте они испытали стресс.,На соревнования приехали 400 спортсменов из Казахстана, Узбекистана и Таджикистана. Организаторы планировали провести турнир в течение двух дней. Президент Федерации таэквондо ITF Айдос Аманжолов рассказывает, что заранее был арендован зал для состязаний в местном университете. Но руководство ВУЗа почему-то отказало в проведении. После договорились с шымкетской спортивной школой. Правда, перед стартом турнира всех участников выставили на улицу.,Причину отказов никто так и не объяснил, говорит глава казахстанской федерации таэквондо. Считает, что все это дело рук руководителей спортивных объединений Шымкента и Туркестанской области. Айдос Аманжолов сетует, что изначально именно они препятствовали проведению соревнований, якобы из-за конкуренции.,К слову, сложившаяся обстановка шокировала не только местных, но и иностранных гостей. Они заявили, что больше не приедут на подобные состязания в Шымкент.,- Нас встретили, знаете с какими словами? На улице стоит наша охрана. Будьте бдительны! Мы не для этого сюда приехали, чтобы подвергать опасности наших детей, - сказала жительница Узбекистана Азиза Раджабова.,После долгих мучений спортзал все же нашли. Арендовали его в частном ВУЗе. Турнир провели за один день. Но условия для проведения такого уровня состязаний там, мягко говоря, оказались не комфортными. В перерывах между боями участники питались прямо на полу. Не было свободных мест для разминки перед поединком. А из-за отсутствия трибун болельщики стояли близко к татами и создавали столпотворение. Между тем в профильном управлении говорят, что организаторы вообще не имели право на проведение чемпионата.,Между тем, казахстанская Федерация таэквондо обратилась с заявлением к правоохранителям из-за угроз со стороны местных спортивных сообществ. Глава федерации Айдос Аманжолов также заявил о намерении написать жалобу в Минкультуры и спорта и акиму Шымкента в связи с воспрепятствованием проведения турнира. Если дело не сдвинется, то последней инстанцией станет Президент.,Больше новостей в Telegram-канале ,. Подписывайся!","""Беспредел по-шымкентски"". Скандал разгорелся вокруг Чемпионата Азии по таэквондо"
0,"29 октября 2019, 01:58"," сообщает ,.,Стандарт RCS находится в разработке с 2007 года, но из-за разногласий между операторами не получал широкого распространения. Его можно представить как надстройку к СМС и ММС. Во-первых, сообщение точно дойдет до адресата. Если послание не сможет быть доставлено посредством Wi-Fi, оно будет отправлено обычным способом, через сотовую сеть. Это гарантирует доставку как на кнопочные телефоны, так и ""айфоны"".,Во-вторых, сообщение может быть обогащено всеми функциями современных чатов. К нему можно прикрепить медиаконтент в виде изображений высокого качества, а пользователи смогут видеть индикатор того, что собеседник печатает.,Американские операторы выпустят Android-приложение с поддержкой RCS в 2020 году. Оно будет предустанавливаться на все смартфоны, продающиеся в их салонах. Как рассказал The Verge управляющий CCMI Даг Гарланд, новый мессенджер будет поддерживать все ключевые функции RCS, включая индикатор набора текста, мультимедийные вложения и групповые чаты. Он также будет совместим с универсальным профилем (Universal Profile) — международным стандартом для RCS, который внедряют операторы по всему миру.,По словам Гарланда, СП заинтересовано в партнерстве с другими компаниями, в первую очередь с Samsung и Google, чтобы абоненты, которые не захотят пользоваться новым приложением, смогли общаться в Android Messages или Samsung Messages. Представители поисковика уже выразили согласие на сотрудничество с CCMI. В Apple на запрос The Verge не ответили, однако Гарланд заявил, что также хотели бы видеть производителя айфонов в числе партнеров.,Больше новостей в Telegram-канале ,. Подписывайся!",Сотовые операторы США откажутся от SMS-сообщений
1,"29 октября 2019, 06:06"," сообщает ,.,Департамент исправительного учреждения штата Джорджия сообщил, что заключенный Тони Майкон Мунос-Мендес (Tony Maycon Munoz-Mendez) был ""по ошибке выпущен на свободу"" 25 октября из государственной тюрьмы в городе Рейдсвилл.,Отмечается, что Мунос-Мендес был отправлен за решетку за изнасилование, совершенное в 2012 году, и за растление и изнасилование малолетних в 2010 году.,Телеканал Fox сообщает, что власти задействовали все ресурсы для поисков 31-летнего осужденного.,Больше новостей в Telegram-канале ,. Подписывайся!","В США заключенного на пожизненный срок ""по ошибке"" выпустили из тюрьмы"
